city,timestamp,temperature_c,windspeed_kmh,solar_radiation_wm2,fetched_at,wind_potential,solar_potential,demand_signal,hour,date,day
Freiburg,2026-04-03 00:00:00,5.8,7.8,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,0,2026-04-03,Friday
Freiburg,2026-04-03 01:00:00,4.8,5.7,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,1,2026-04-03,Friday
Freiburg,2026-04-03 02:00:00,4.4,7.5,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,2,2026-04-03,Friday
Freiburg,2026-04-03 03:00:00,4.5,6.8,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,3,2026-04-03,Friday
Freiburg,2026-04-03 04:00:00,3.8,5.9,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,4,2026-04-03,Friday
Freiburg,2026-04-03 05:00:00,3.1,5.9,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,5,2026-04-03,Friday
Freiburg,2026-04-03 06:00:00,2.2,4.8,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,6,2026-04-03,Friday
Freiburg,2026-04-03 07:00:00,2.2,5.8,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,7,2026-04-03,Friday
Freiburg,2026-04-03 08:00:00,3.7,6.1,33.8,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,8,2026-04-03,Friday
Freiburg,2026-04-03 09:00:00,5.0,2.1,177.2,2026-04-03 13:34:50.437383,Low,Medium,Normal Demand,9,2026-04-03,Friday
Freiburg,2026-04-03 10:00:00,6.7,4.1,323.8,2026-04-03 13:34:50.437383,Low,High,Normal Demand,10,2026-04-03,Friday
Freiburg,2026-04-03 11:00:00,9.8,6.4,510.8,2026-04-03 13:34:50.437383,Low,Very High,Normal Demand,11,2026-04-03,Friday
Freiburg,2026-04-03 12:00:00,11.5,12.1,612.8,2026-04-03 13:34:50.437383,Medium,Very High,Normal Demand,12,2026-04-03,Friday
Freiburg,2026-04-03 13:00:00,12.5,8.9,682.0,2026-04-03 13:34:50.437383,Low,Very High,Normal Demand,13,2026-04-03,Friday
Freiburg,2026-04-03 14:00:00,13.5,9.7,717.2,2026-04-03 13:34:50.437383,Low,Very High,Normal Demand,14,2026-04-03,Friday
Freiburg,2026-04-03 15:00:00,14.4,13.0,581.0,2026-04-03 13:34:50.437383,Medium,Very High,Normal Demand,15,2026-04-03,Friday
Freiburg,2026-04-03 16:00:00,14.5,17.1,476.2,2026-04-03 13:34:50.437383,Medium,High,Normal Demand,16,2026-04-03,Friday
Freiburg,2026-04-03 17:00:00,14.7,15.0,404.2,2026-04-03 13:34:50.437383,Medium,High,Normal Demand,17,2026-04-03,Friday
Freiburg,2026-04-03 18:00:00,14.4,14.8,326.0,2026-04-03 13:34:50.437383,Medium,High,Normal Demand,18,2026-04-03,Friday
Freiburg,2026-04-03 19:00:00,13.7,13.5,158.2,2026-04-03 13:34:50.437383,Medium,Medium,Normal Demand,19,2026-04-03,Friday
Freiburg,2026-04-03 20:00:00,12.6,12.4,30.8,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,20,2026-04-03,Friday
Freiburg,2026-04-03 21:00:00,12.1,11.5,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,21,2026-04-03,Friday
Freiburg,2026-04-03 22:00:00,12.0,12.4,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,22,2026-04-03,Friday
Freiburg,2026-04-03 23:00:00,12.1,14.7,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,23,2026-04-03,Friday
Freiburg,2026-04-04 00:00:00,11.8,15.7,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,0,2026-04-04,Saturday
Freiburg,2026-04-04 01:00:00,11.5,14.7,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,1,2026-04-04,Saturday
Freiburg,2026-04-04 02:00:00,11.1,16.0,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,2,2026-04-04,Saturday
Freiburg,2026-04-04 03:00:00,10.5,17.2,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,3,2026-04-04,Saturday
Freiburg,2026-04-04 04:00:00,10.2,15.8,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,4,2026-04-04,Saturday
Freiburg,2026-04-04 05:00:00,10.2,16.7,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,5,2026-04-04,Saturday
Freiburg,2026-04-04 06:00:00,10.3,16.3,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,6,2026-04-04,Saturday
Freiburg,2026-04-04 07:00:00,10.2,16.3,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,7,2026-04-04,Saturday
Freiburg,2026-04-04 08:00:00,10.3,15.5,3.5,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,8,2026-04-04,Saturday
Freiburg,2026-04-04 09:00:00,10.6,15.2,12.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,9,2026-04-04,Saturday
Freiburg,2026-04-04 10:00:00,10.8,14.7,24.5,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,10,2026-04-04,Saturday
Freiburg,2026-04-04 11:00:00,11.2,12.7,42.5,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,11,2026-04-04,Saturday
Freiburg,2026-04-04 12:00:00,11.9,11.8,86.2,2026-04-03 13:34:50.437383,Medium,Medium,Normal Demand,12,2026-04-04,Saturday
Freiburg,2026-04-04 13:00:00,12.2,10.8,90.2,2026-04-03 13:34:50.437383,Medium,Medium,Normal Demand,13,2026-04-04,Saturday
Freiburg,2026-04-04 14:00:00,12.4,9.5,78.0,2026-04-03 13:34:50.437383,Low,Medium,Normal Demand,14,2026-04-04,Saturday
Freiburg,2026-04-04 15:00:00,13.2,8.8,129.0,2026-04-03 13:34:50.437383,Low,Medium,Normal Demand,15,2026-04-04,Saturday
Freiburg,2026-04-04 16:00:00,14.3,7.3,215.2,2026-04-03 13:34:50.437383,Low,High,Normal Demand,16,2026-04-04,Saturday
Freiburg,2026-04-04 17:00:00,15.0,7.6,352.8,2026-04-03 13:34:50.437383,Low,High,Normal Demand,17,2026-04-04,Saturday
Freiburg,2026-04-04 18:00:00,15.7,6.1,347.0,2026-04-03 13:34:50.437383,Low,High,Normal Demand,18,2026-04-04,Saturday
Freiburg,2026-04-04 19:00:00,15.6,5.5,191.0,2026-04-03 13:34:50.437383,Low,Medium,Normal Demand,19,2026-04-04,Saturday
Freiburg,2026-04-04 20:00:00,14.8,3.9,43.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,20,2026-04-04,Saturday
Freiburg,2026-04-04 21:00:00,12.9,5.6,0.2,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,21,2026-04-04,Saturday
Freiburg,2026-04-04 22:00:00,11.8,6.1,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,22,2026-04-04,Saturday
Freiburg,2026-04-04 23:00:00,10.9,6.1,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,23,2026-04-04,Saturday
Freiburg,2026-04-05 00:00:00,10.5,6.1,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,0,2026-04-05,Sunday
Freiburg,2026-04-05 01:00:00,9.8,5.6,0.2,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,1,2026-04-05,Sunday
Freiburg,2026-04-05 02:00:00,9.1,5.9,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,2,2026-04-05,Sunday
Freiburg,2026-04-05 03:00:00,9.3,6.2,0.2,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,3,2026-04-05,Sunday
Freiburg,2026-04-05 04:00:00,10.3,6.7,0.2,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,4,2026-04-05,Sunday
Freiburg,2026-04-05 05:00:00,13.0,7.1,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,5,2026-04-05,Sunday
Freiburg,2026-04-05 06:00:00,13.7,6.9,0.5,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,6,2026-04-05,Sunday
Freiburg,2026-04-05 07:00:00,12.9,6.2,0.2,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,7,2026-04-05,Sunday
Freiburg,2026-04-05 08:00:00,14.0,6.4,40.8,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,8,2026-04-05,Sunday
Freiburg,2026-04-05 09:00:00,16.1,9.2,184.1,2026-04-03 13:34:50.437383,Low,Medium,Normal Demand,9,2026-04-05,Sunday
Freiburg,2026-04-05 10:00:00,17.6,16.7,348.6,2026-04-03 13:34:50.437383,Medium,High,Normal Demand,10,2026-04-05,Sunday
Freiburg,2026-04-05 11:00:00,18.2,18.9,503.2,2026-04-03 13:34:50.437383,Medium,Very High,Normal Demand,11,2026-04-05,Sunday
Freiburg,2026-04-05 12:00:00,19.2,19.1,627.0,2026-04-03 13:34:50.437383,Medium,Very High,Normal Demand,12,2026-04-05,Sunday
Freiburg,2026-04-05 13:00:00,20.0,18.6,708.0,2026-04-03 13:34:50.437383,Medium,Very High,Normal Demand,13,2026-04-05,Sunday
Freiburg,2026-04-05 14:00:00,20.7,18.4,668.0,2026-04-03 13:34:50.437383,Medium,Very High,Normal Demand,14,2026-04-05,Sunday
Freiburg,2026-04-05 15:00:00,20.7,17.4,488.0,2026-04-03 13:34:50.437383,Medium,High,Normal Demand,15,2026-04-05,Sunday
Freiburg,2026-04-05 16:00:00,20.6,17.3,407.0,2026-04-03 13:34:50.437383,Medium,High,Normal Demand,16,2026-04-05,Sunday
Freiburg,2026-04-05 17:00:00,20.5,16.6,361.0,2026-04-03 13:34:50.437383,Medium,High,Normal Demand,17,2026-04-05,Sunday
Freiburg,2026-04-05 18:00:00,19.5,15.1,217.0,2026-04-03 13:34:50.437383,Medium,High,Normal Demand,18,2026-04-05,Sunday
Freiburg,2026-04-05 19:00:00,17.9,10.1,80.0,2026-04-03 13:34:50.437383,Medium,Medium,Normal Demand,19,2026-04-05,Sunday
Freiburg,2026-04-05 20:00:00,16.6,6.5,16.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,20,2026-04-05,Sunday
Freiburg,2026-04-05 21:00:00,15.2,3.1,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,21,2026-04-05,Sunday
Freiburg,2026-04-05 22:00:00,14.0,4.5,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,22,2026-04-05,Sunday
Freiburg,2026-04-05 23:00:00,12.7,6.9,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,23,2026-04-05,Sunday
Stuttgart,2026-04-03 00:00:00,7.0,6.2,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,0,2026-04-03,Friday
Stuttgart,2026-04-03 01:00:00,6.4,5.5,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,1,2026-04-03,Friday
Stuttgart,2026-04-03 02:00:00,5.9,5.4,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,2,2026-04-03,Friday
Stuttgart,2026-04-03 03:00:00,5.5,4.2,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,3,2026-04-03,Friday
Stuttgart,2026-04-03 04:00:00,5.7,5.5,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,4,2026-04-03,Friday
Stuttgart,2026-04-03 05:00:00,4.6,5.4,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,5,2026-04-03,Friday
Stuttgart,2026-04-03 06:00:00,4.3,5.4,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,6,2026-04-03,Friday
Stuttgart,2026-04-03 07:00:00,3.8,5.8,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,7,2026-04-03,Friday
Stuttgart,2026-04-03 08:00:00,4.1,5.8,38.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,8,2026-04-03,Friday
Stuttgart,2026-04-03 09:00:00,5.7,5.5,144.2,2026-04-03 13:34:50.437383,Low,Medium,Normal Demand,9,2026-04-03,Friday
Stuttgart,2026-04-03 10:00:00,8.1,5.2,318.2,2026-04-03 13:34:50.437383,Low,High,Normal Demand,10,2026-04-03,Friday
Stuttgart,2026-04-03 11:00:00,10.6,3.7,431.5,2026-04-03 13:34:50.437383,Low,High,Normal Demand,11,2026-04-03,Friday
Stuttgart,2026-04-03 12:00:00,12.2,6.4,584.5,2026-04-03 13:34:50.437383,Low,Very High,Normal Demand,12,2026-04-03,Friday
Stuttgart,2026-04-03 13:00:00,12.0,7.6,430.8,2026-04-03 13:34:50.437383,Low,High,Normal Demand,13,2026-04-03,Friday
Stuttgart,2026-04-03 14:00:00,12.9,3.6,518.5,2026-04-03 13:34:50.437383,Low,Very High,Normal Demand,14,2026-04-03,Friday
Stuttgart,2026-04-03 15:00:00,14.8,13.2,625.5,2026-04-03 13:34:50.437383,Medium,Very High,Normal Demand,15,2026-04-03,Friday
Stuttgart,2026-04-03 16:00:00,14.7,10.8,541.8,2026-04-03 13:34:50.437383,Medium,Very High,Normal Demand,16,2026-04-03,Friday
Stuttgart,2026-04-03 17:00:00,14.5,12.7,348.8,2026-04-03 13:34:50.437383,Medium,High,Normal Demand,17,2026-04-03,Friday
Stuttgart,2026-04-03 18:00:00,14.0,10.1,189.2,2026-04-03 13:34:50.437383,Medium,Medium,Normal Demand,18,2026-04-03,Friday
Stuttgart,2026-04-03 19:00:00,13.5,9.2,94.5,2026-04-03 13:34:50.437383,Low,Medium,Normal Demand,19,2026-04-03,Friday
Stuttgart,2026-04-03 20:00:00,12.8,5.6,18.5,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,20,2026-04-03,Friday
Stuttgart,2026-04-03 21:00:00,11.8,6.6,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,21,2026-04-03,Friday
Stuttgart,2026-04-03 22:00:00,11.3,10.2,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,22,2026-04-03,Friday
Stuttgart,2026-04-03 23:00:00,10.9,11.2,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,23,2026-04-03,Friday
Stuttgart,2026-04-04 00:00:00,10.6,10.6,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,0,2026-04-04,Saturday
Stuttgart,2026-04-04 01:00:00,10.2,10.1,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,1,2026-04-04,Saturday
Stuttgart,2026-04-04 02:00:00,9.9,11.4,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,2,2026-04-04,Saturday
Stuttgart,2026-04-04 03:00:00,9.8,11.8,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,3,2026-04-04,Saturday
Stuttgart,2026-04-04 04:00:00,9.9,9.0,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,4,2026-04-04,Saturday
Stuttgart,2026-04-04 05:00:00,10.0,9.7,0.0,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,5,2026-04-04,Saturday
Stuttgart,2026-04-04 06:00:00,9.9,13.6,0.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,6,2026-04-04,Saturday
Stuttgart,2026-04-04 07:00:00,9.7,12.8,0.2,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,7,2026-04-04,Saturday
Stuttgart,2026-04-04 08:00:00,10.0,13.0,7.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,8,2026-04-04,Saturday
Stuttgart,2026-04-04 09:00:00,10.4,11.8,18.0,2026-04-03 13:34:50.437383,Medium,Low,Normal Demand,9,2026-04-04,Saturday
Stuttgart,2026-04-04 10:00:00,10.7,8.4,29.8,2026-04-03 13:34:50.437383,Low,Low,Normal Demand,10,2026-04-04,Saturday
Stuttgart,2026-04-04 11:00:00,11.2,8.2,56.5,2026-04-03 13:34:50.437383,Low,Medium,Normal Demand,11,2026-04-04,Saturday
